objectid,filename,youtubeid,title,format,description,creator,publisher,relation,date,mediatype,subject,location,latitude,longitude,original-identifier,identifier,rights,rightsstatement,type,language
khs014,sausage_at_ doggiestyle_20180220.jpg,,Sausage at Doggie Style Pet Store,image/jpeg,"Photograph of Sausage while available for adoption at Doggie Style pet store, Rittenhouse Square, Philadelphia.","Benedett, Barbara",,Benedett family collection of Sausage memorabilia,2018-02-20,photographs,Pet adoption; Pit bull terriers,"Philadelphia, PA",39.94799163032098,-75.16944440213607,,khs014-BFCS,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng
khs015,sausage_adoption_ photo.jpg,,Sausage: adoption profile photo,image/jpeg,Photograph posted by Saved Me Rescue as part of Sausage's adoption profile.,Saved Me Rescue,,Benedett family collection of Sausage memorabilia,2017,photographs,Pet adoption; Pit bull terriers,"Philadelphia, PA",39.93909674922212,-75.18730070213243,,khs015-BFCS,No known copyright,http://rightsstatements.org/vocab/NKC/1.0/,still image,eng
khs016,sausage_at_daycare_with_friend.jpg,,Sausage playing with a friend,image/jpeg,Photograph of Sausage [left] playing with a friend at Central Bark Daycare.,Central Bark Doggie Daycare,,Benedett family collection of Sausage memorabilia,2020,photographs,Pit bull terriers; Land seals; Pittie party,"Philadelphia, PA",39.93675722234651,-75.18631613096852,,khs016-BFCS,No known copyright,http://rightsstatements.org/vocab/NKC/1.0/,still image,eng
khs017,sausage_cuddling_ 20191023.jpg,,Sausage comfortable on the couch,image/jpeg,Photograph of Sausage about 1 year after his adoption.,"Benedett, Barbara",,Benedett family collection of Sausage memorabilia,2019-10-23,photographs,Pit bull terriers; Land seals,"Philadelphia, PA",,,,khs017-BFCS,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0//,still image,eng
khs018,sausage_at_ daycare2-caesar_ reinactment.jpg,,"Sausage at daycare, classic theater day",image/jpeg,"Photograph of Sausage (as Cassius) and other cast members during dress rehearsal of William Shakespeare's, Julius Caesar.","Benedett, Barbara",,Benedett family collection of Sausage memorabilia,2018,photographs,Pit bull terriers; Land seals; Pittie party,"Philadelphia, PA",39.93675722234651,-75.18631613096852,,khs018-BFCS,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0//,still image,eng
hhs019,kensey_adoption_ photo.jpg,,Kensey: adoption profile photo,image/jpeg,Photograph of Kensey posted by Pennsylvania Animal Welfare Society as part of adoption profile.,Pennsylvania Animal Welfare Society,,Benedett family collection of Kensey memorabilia,2009,photographs,Pet adoption; Pit bull terriers,"Philadelphia, PA",39.952962343555924,-75.14340901513674,,hhs019-BFCK,No known copyright,http://rightsstatements.org/vocab/NKC/1.0/,still image,eng
khs020,kensey_self_portrait-2020.jpg,,Kensey: self portrait,image/jpeg,"After her retirement, Kensey took up drawing as a hobby. This self-portrait was created on an iPad using the Procreate application [migrated to jpeg format].","Benedett, Kensey",,Benedett family collection of Kensey memorabilia,2020,artwork,Digital art; Pit bull terriers,,,,,khs020-BFCK,In copyright. Permission obtained by rights holder.,http://rightsstatements.org/vocab/InC/1.0/,still image,eng
khs021,sauce_pawing_ kens_nose_ 20201102.jpg,,"""Exhibit A"" Kensey v Sausage",image/jpeg,"A playful bat on the nose later became evidence of ""antagonism by annoying little brother"" in the high-profile, case of Kensey v Sausage.","Benedett, Barbara",,Benedett family collection of Kensey memorabilia,2020,photographs,Pit bull terriers; Land seals; Pittie party,"Philadelphia, PA",,,,khs021-BFCK,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0//,still image,eng
khs022,kensey_eating_ sausages_face_ 2018-07-20.jpg,,"""Exhibit A"" Sausage v Kensey",image/jpeg,"In a counter claim, Sausage produced this photograph as evidence of ""mean big sister"". Although, the defense cited the look of ""pure joy"" on his face as proof that the dogs were engaged in play at the time. Both cases were later dismissed and settled out of court. ","Benedett, Barbara",,Benedett family collection of Kensey memorabilia,2018,photographs,Pit bull terriers; Land seals; Pittie party,"Philadelphia, PA",,,,khs022-BFCK,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0///,still image,eng
khs023,kensey_cast_ 20170807.jpg,,"Kensey in cast, post-surgery ",image/jpeg,Photograph of Kensey after undergoing surgery to remove a spindle-cell tumor at the University of Pennsylvania Ryan Veterenary Hospital. Pictured here with her favorite Mr. Bill pillow.,"Benedett, Barbara",,Benedett family collection of Kensey memorabilia,2017-08-07,photographs,Dog Diseases--surgery; Pit bull terriers; Veterinarians--Pennsylvania,"Philadelphia, PA",,,,khs023-BFCK,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0////,still image,eng
khs024,kensey_squirrel_ 20151031.jpg,,Kensey the Squirrel,image/jpeg,"Kensey dressed in squirrel costume for Halloween, 2015.","Benedett, Barbara",,Benedett family collection of Kensey memorabilia,2015-10-31,photographs,Pit bull terriers,"Philadelphia, PA",,,,khs024-BFCK,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/////,still image,eng
khs025,dogs_snuggling_ 20190226.jpg,,Kensey and Sausage sharing the couch,image/jpeg,"In a moment of calm, the dogs are discovered cuddling together on the couch.","Benedett, Barbara",,Benedett family collection of Kensey memorabilia,2019-02-26,photographs,Pit bull terriers,"Philadelphia, PA",,,,khs025-BFCK,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/////,still image,eng
khs026,i_didnt_raise_my_dog_to_be_a_sausage.pdf,,I Didn't Raise My Dog To Be A Sausage: Comic Song,application/pdf,"Parody of the World War I era song, I Didn't Raise My Boy To Be A Soldier, this version is one of Sausage's favorite tunes. For voice and piano.","Paley, Herman, 1879-1955 (composer);McCarron, Charles R., 1891-1919 (lyricist);Starmer (illustrator)","Jerome H. Remick & Co. (Detroit, Mich.)","World War I Sheet Music, Brown University Library",1915,notated music; vocal score,"Dogs--war use; World War, 1914-1918--United States",,,,M1646 .P334x c.2,khs026-BFCS,"Public Domain, United States",http://rightsstatements.org/vocab/NoC-US/1.0///,sheet music,eng
